tn_ved,country,country_sum_2022,period,country_sum_2021
1604141100-Готовая или консервированная рыба в растительном масле,AM-АРМЕНИЯ,79680.0,2022,0.0
"1604141600-Прочие корды (балык), тунец и скипджек целые или в кусках, но не фаршированные",AM-АРМЕНИЯ,0.0,2022,0.0
"1604142100-Тунец, скипджек, или тунец полосатый, и пеламида (sarda spp.) в",KZ-КАЗАХСТАН,271232.0,2022,123029.2
"1604142600-Филе, скипджека, или тунеца полосатого известное как корды, или балык",KZ-КАЗАХСТАН,346112.0,2022,7614.52
"1604142800-Прочий тунец, скипджек, или тунец полосатый, и пеламида (sarda spp.)",KZ-КАЗАХСТАН,307008.0,2022,69419.49
1604143100-Желтоперый тунец (thunnus albacares)  в растительном масле,AM-АРМЕНИЯ,131776.0,2022,0.0
1604143800-Прочий желтоперый тунец (thunnus albacares),BY-БЕЛАРУСЬ,38912.0,2022,13086.31
"1604144100-Тунец и скипджек, или тунец полосатый в растительном масле",UZ-УЗБЕКИСТАН,54656.0,2022,36883.93
"1604170000-Угорь целиком или в кусках, но нефаршированный",BY-БЕЛАРУСЬ,230336.0,2022,280997.56
"1604199100-Готовая или консервир. продукция из филе прочих рыб, целиком или в кусках, сырая, в тесте или панировке, предварительно обжаренная или не обжаренная в масле, глобоко замороженная",BY-БЕЛАРУСЬ,126720.0,2022,276080.17
"1604199500-Готовая или консерварованная продукция из минтая(theragra chalcogramma,серебристая сайда (pollachius pollachius), целиком или в кусках, но не фаршированная",BY-БЕЛАРУСЬ,109504.0,2022,23254.79
1604204000-Готовая или консервированная продукция из анчоусов,KZ-КАЗАХСТАН,387264.0,2022,11449.33
"1605211000-Креветки и пильчатые креветки в негерметичной упаковке, в первичных упаковках нетто-массой не более 2 кг",BY-БЕЛАРУСЬ,94976.0,2022,49760.52
1605219000-Прочие креветки и пильчатые креветки в негерметичной упаковке,BY-БЕЛАРУСЬ,91520.0,2022,104781.15
"1605520000-Гребешки, включая королевские гребешки, готовые или консервированные",AM-АРМЕНИЯ,118592.0,2022,0.0
1605539000-Прочие моллюски готовые или консервированные,BY-БЕЛАРУСЬ,120000.0,2022,222014.03
"1605560000-Клемы, сердцевидки и арки готовые или консервированные",BY-БЕЛАРУСЬ,87040.0,2022,42692.34
"1605580000-Улитки, кроме липариса готовые или консервированные",KZ-КАЗАХСТАН,224384.0,2022,13710.23
"1604199300-Готовая или консервированная продукция из сайды (pollachius virens), целиком или в кусках, но не фаршированная",AU-АВСТРАЛИЯ,29568.0,2022,0.0
1602503101-Солонина в герметичных контейнерах,AZ-АЗЕРБАЙДЖАН,0.0,2022,0.0
"1604144600-Филе, известное как корды, или балык, прочий",UZ-УЗБЕКИСТАН,163392.0,2022,4385.77
"1604193900-Прочая готовая и консервированная продукция из рыбы рода euthynnus, кроме скипджека (euthynnus (katsuwonus) pelamis) целиком или в кусках, но не фаршированная",AZ-АЗЕРБАЙДЖАН,0.0,2022,0.0
1605400000-Готовые или консервированные прочие ракообразные,AZ-АЗЕРБАЙДЖАН,0.0,2022,0.0
1605610000-Голотурии готовые или консервированные,BE-БЕЛЬГИЯ,79872.0,2022,0.0
1602901000-Прочие готовые и консервированные продукты из крови любых животных,KZ-КАЗАХСТАН,161216.0,2022,1440.06
"1604143600-Филе желтоперого тунеца (thunnus albacares), известное как корды,",BY-БЕЛАРУСЬ,38912.0,2022,0.0
"1604193100-Филе, из рыбы рода euthynnus, кроме скипджека, или тунца полосатого (euthynnus (katsuwonus) pelamis): известное как ""корды, или балык""",KZ-КАЗАХСТАН,160384.0,2022,419.33
"1604199710-Осетровые прочие, целиком или в кусках, но нефаршированная",KZ-КАЗАХСТАН,211776.0,2022,1706.51
1604209010-Готовая или консервированная рыба из осетровых,KZ-КАЗАХСТАН,218688.0,2022,842.31
"1605301000-Мясо омаров, подвергнутое тепловой обработке, для производства омарного масла или омарных паштетов, паст, супов или соусов",BY-БЕЛАРУСЬ,0.0,2022,0.0
"1605400001-Готовые или консервированные прочие ракообразные, мясо криля",BY-БЕЛАРУСЬ,38848.0,2022,0.0
1605510000-Устрицы готовые или консервированные,BY-БЕЛАРУСЬ,0.0,2022,0.0
"1602503109-Солонина, прочая",KZ-КАЗАХСТАН,182592.0,2022,0.0
"1602907200-Прочие готовые продукты из крови баранины, сырые; смеси отварного мяса или субпродуктов и сырого мяса или субпродуктов",KZ-КАЗАХСТАН,176128.0,2022,0.0
